billing_date,account_id,service,resource_id,environment,team_tag,cost_cents,usage_quantity,load_timestamp
2025-06-01,A-100,ec2,R-1,prod,platform,12000,10,2025-06-02T01:00:00
2025-06-01,A-100,ec2,R-1,Production,platform,12500,10,2025-06-02T03:00:00
2025-06-01,A-101,s3,R-2,prod,data,3000,100,2025-06-02T01:00:00
2025-06-01,A-102,rds,R-3,PROD,,8000,5,2025-06-02T01:00:00
2025-06-01,A-103,lambda,R-4,dev,web,500,2000,2025-06-02T01:00:00
2025-06-02,A-100,ec2,R-1,Prod,platform,11800,9,2025-06-03T01:00:00
2025-06-02,A-101,s3,R-2,prod,data,3200,110,2025-06-03T01:00:00
2025-06-02,A-102,rds,R-3,prod,,8200,5,2025-06-03T01:00:00
2025-06-02,A-103,lambda,R-4,Dev,web,550,2100,2025-06-03T01:00:00
2025-06-02,A-999,cloudfront,R-9,prod,rogue,99000,1,2025-06-03T01:00:00
2025-06-02,A-100,s3,R-5,staging,platform,1500,50,2025-06-03T01:00:00
2025-06-02,A-100,s3,R-5,Staging,platform,1600,50,2025-06-03T05:00:00
2025-06-01,A-102,rds,R-6,prod,ml,-100,0,2025-06-02T01:00:00
2025-06-02,A-103,ec2,R-7,prod,web,0,0,2025-06-03T01:00:00
2025-06-01,A-101,s3,R-2,prod,data,2900,95,2025-06-01T22:00:00
